county_name,correlation
Abeokuta South,0.6205236671280248
Aberdeenshire,-0.4519920996577966
Adams County,2.7755575615628914e-17
Adelaide City Council,-0.13841706300368364
Agrigento,0.604720561443215
Ain,-0.1037769110431214
Alacant / Alicante,0.12797639474451175
Alanya,0.1456505408078166
Allegheny County,0.37274965820548744
Almeria,0.38367212705025733
Anderson County,-0.5309177708642758
Angus,0.7931932427021313
Arapahoe County,0.912870929175277
Arcadia Regional Unit,-0.4976726017934395
Argolis Regional Unit,0.6858474219866376
Argyll and Bute,-0.44720778375738046
Atlantic County,0.6750399440919224
Aude,-0.8749999999999999
Austin County,0.025785531156469824
Aveyron,1.0
Ayrshire,-0.4722807143657868
Banffshire,-0.48427313261430294
Bangalore North,0.08838834764831843
Barcelona,-0.09585499808572286
Bath and North East Somerset,-0.24747712135213806
Bay of Cádiz,0.2790495473097116
Bedford,0.10012242845541244
Bedford County,0.2621325052190165
Belleville,-0.07104442716780891
Benevento,0.8040302522073699
Bergen County,0.766281539159672
Berks County,-0.7850005762217697
Berwickshire,0.18787165745655351
Bexar County,0.24831129446524647
Blackburn with Darwen,-0.29758564481837346
Blackpool,-0.3911117624269085
Blaenau Gwent,0.05984815071778951
Bodrum,0.7777777777777778
Bouches-du-Rhône,-0.13245323570650439
"Bournemouth, Christchurch and Poole",-0.11238242588750115
Bracknell Forest,-0.3221828737426987
Bradford County,-0.16613825893752499
Bridgend,-0.587717343277135
Brighton and Hove,-0.1904210815665823
Brindisi,1.0
Bristol County,0.2994098423447543
Broward County,0.03712585499919896
Brown County,-0.1676946177263844
Brussels-Capital,0.0253112557058843
Buckinghamshire,0.043170862314219086
Bucks County,-0.6726277548444999
Buffalo City Metropolitan Municipality,-0.0504433272305318
Burlington County,0.12834306531726453
Caddo Parish,-0.2985111570629968
Caerphilly,-0.4556147972770554
Caithness,-0.1383206138373425
Cambridgeshire,0.17394849069392151
Camden County,0.5642270786077642
Campo de Gibraltar,0.24559052243813015
Canton Mersch,1.0
Cape May County,-0.11244328963320467
Cardiff,-0.31561589373216015
Carmarthenshire,-0.17066693786186574
Castelló / Castellón,0.17716064928611147
Catania,0.8543678769063694
Cecil County,0.06338100087332026
Central Bedfordshire,0.35826987439778446
Ceredigion,0.04395690865263392
Chalkidiki Regional Unit,-0.18898223650461363
Chania Regional Unit,-0.08080825100888589
Charente-Maritime,-0.2530551031809113
Cheshire County,-1.0
Cheshire East,-0.12997954062234515
Cheshire West and Chester,-0.18891724813465105
Chester,0.19700460007264026
Chester County,-0.2685057404810945
Chesterfield County,-0.14889817151055834
Chieti,0.8990040968868919
City of Belgrade,0.1049456759767279
City of Bristol,-0.03113213660901218
City of Cape Town,0.29679290534972136
City of Ekurhuleni Metropolitan Municipality,0.375
City of Johannesburg Metropolitan Municipality,0.06641748201888723
City of Leicester,-0.42219614408014217
City of Perth,-0.5831506386718637
City of Peterborough,-0.1309276126500991
City of Tshwane Metropolitan Municipality,0.21687388419561046
Clackmannanshire,-0.5361650488511185
Clark County,0.013625022847476574
Cobb County,-0.33333333333333326
Coimbra,-0.6622661785325218
Collin County,-0.191511479307604
Conthey,-0.19802950859533477
Conwy,-0.3243056077989232
Cook County,-0.20656617400987173
Corfu Regional Unit,0.1640372000705385
Cornwall,-0.1367633852940472
Costa del Sol Occidental,0.3332662814330044
County Cork,0.13874205953482255
County Donegal,0.3110916417217947
County Dublin,-0.2968082506502089
County Durham,-0.24838229772955783
County Fermanagh,-0.23615293293894843
County Galway,-0.5813183589761799
County Kerry,0.35143174800275734
County Kildare,0.6123724356957946
County Londonderry,0.07074912520410924
County Louth,-0.06933540861169035
County Meath,0.118003317868462
County Sligo,-0.1503541917564104
County Tyrone,0.09248018584738105
County Wexford,0.1924500897298753
Cumberland County,0.13675966012995666
Cumbria,-0.10836258519784459
Cuyahoga County,-0.5803810000880094
Cádiz,0.1740776559556978
Dadri,0.0
Dallas County,0.35369143448111073
Dane County,-0.33333333333333326
Darlington,0.042756835001470116
Davidson County,-0.11620206616794809
Davis County,0.08568631107721088
Delaware County,0.06309093397880622
Denbighshire,-0.5346050887621243
Denver County,0.5976143046671969
Derby,0.15518433751730407
Derbyshire,-0.05151410910220246
Devon,-0.006271222539040791
Dorchester County,0.2885981853372563
Dordogne,0.2548043011329049
Dorset,-0.045583032290267694
Doña Ana County,0.3162277660168379
Dr Kenneth Kaunda District Municipality,0.18898223650461354
Dumfries and Galloway,-0.3087452859169269
Dumfriesshire,0.166462863221651
Dundee City,-0.5718367508116435
Durham County,0.4938534135739702
Durham Region,-0.4413294949606683
East Ayrshire,0.31844239982630734
East Dunbartonshire,0.2335052785577202
East Lothian,-0.3984714312624035
East Renfrewshire,0.21185315456380074
East Riding of Yorkshire,0.4365037955522849
East Sussex,0.05618458431286408
Erie County,-0.4061811972299616
Escambia County,-0.33333333333333326
Essex,-0.013879775994605659
Essex County,0.38665781018710454
Eti Osa,0.038532976610995
Fairfield County,0.6981127619329637
Falkirk,-0.02103390887778593
Faro,0.07286532483700893
Fethiye,0.6139601294045424
Fife,-0.03208123746246494
Flintshire,-0.23987191735527985
Fort Bend County,0.8324759457239799
Franklin County,-0.16984911623711307
Fraser Valley Regional District,0.11122120372221475
Frederick County,0.0
Frosinone,2.7755575615628914e-17
Fulton County,-0.09796431284309225
Ga South,1.0
Garden Route District Municipality,0.5
Gautam Buddha Nagar,0.7559289460184543
Genoa,0.18898223650461363
Gent,0.09784921095801632
Gers,-0.5960395606792697
Gersau,0.8660254037844386
Ghaziabad,0.04591941326385361
Girona,-0.2694079530401623
Gironde,-0.15041420939904676
Glasgow City,0.011755956935734335
Gloucester County,0.01920953934336221
Gloucestershire,-0.05548773238033959
Granada,-0.2652134793400885
Greater Manchester,-0.1840291459533181
Greenville County,0.06710351588687741
Guilford County,-0.29831832816350884
Gwent,-0.18479123985060625
Gwynedd,-0.31852662556097133
Halton,-0.24313594533404986
Halton Region,-0.36936162421316154
Hamilton County,0.1500409823399386
Hampden County,-0.3689281589980456
Hampshire,0.05925553928301029
Harris County,0.0
Hartford County,0.6220743579919392
Hartlepool,-0.30251978419985653
Haute-Marne,-0.8
Haute-Vienne,-0.6933752452815365
Hauts-de-Seine,-0.7456011350793255
Haveli,-0.2
Hennepin County,-0.32134559609972435
Henry County,0.33333333333333326
Heraklion Regional Unit,-0.09550011171922261
Herefordshire,0.13151014348751058
Herkimer County,-0.01911448499748385
Hertfordshire,-0.1668093170381435
Hidalgo County,-0.4371927068727666
Highland,-0.1180117416460941
Hillsborough County,0.5330017908890263
Houston County,-0.07670063385172896
Howard County,0.12092373728553955
Hoy,-0.043092485675073074
Hudson County,-0.38260016150372655
Humphreys County,0.0
Hunterdon County,0.17480147469502524
Hérault,-0.5406429336045038
Ibadan North,-0.1480342270532347
Ibadan South West,0.6443110751983799
Ikeja,0.17309105492167912
Inverclyde,-0.3284757816241513
Isle of Anglesey,-0.2948547155295022
Isle of Wight,-0.1251452854138604
James City County,0.25
Jefferson County,0.2104526859049051
Jerusalem Subdistrict,-0.13840913308956662
Jihočeský kraj,0.45103248821535874
Johnson County,0.1480994927396236
Jos North,0.04517935416314514
Karanganyar,-0.46187701122121727
Karaye,0.0
Kefallonia Regional Unit,0.05140426660978204
Kent,0.30218724020405685
Kent County,-0.041751819478695704
King County,-0.19905667452276185
Kingston upon Hull,0.2790483827989338
Kirkcudbrightshire,-0.1513268661380433
Kokona,-0.266163655172705
Kos Regional Unit,0.1685513002236882
Kuşadası,0.0
La Axarquía,-0.5222329678670934
Lackawanna County,0.35715546789680763
Lafayette Parish,-0.0560560661663593
Lagos Island,0.19155391444092604
Lanarkshire,0.39472204629781443
Lancashire,-0.13957343114093607
Landkreis Saarlouis,0.7559289460184544
Landkreis Trier-Saarburg,0.33333333333333326
