period,correlation
2020-03-02,0.4353456960486568
2020-03-03,-0.14733314673079617
2020-03-04,-0.008452415900810507
2020-03-05,0.3156271559670474
2020-03-06,-0.5075586314126446
2020-03-07,-0.5910772971280078
2020-03-08,0.28057731889038495
2020-03-09,0.27253071988850275
2020-03-10,0.5023974638315722
2020-03-11,0.37886231012741267
2020-03-12,0.08123788001863436
2020-03-13,-0.11493320235842687
2020-03-14,0.4109276767260121
2020-03-15,-0.3106317726343302
2020-03-16,0.3418075967270552
2020-03-17,0.016445081329607012
2020-03-18,0.32355583849206937
2020-03-19,-0.012578462436105019
2020-03-20,-0.5540471457511367
2020-03-21,0.21948812545827381
2020-03-22,-0.15894373463281955
2020-03-23,-0.18972133322611612
2020-03-24,-0.7416385498544755
2020-03-25,0.34673683121299403
2020-03-26,-0.2977978450533003
2020-03-27,-0.03306091074115406
2020-03-28,-0.34856507798923975
2020-03-29,-0.36332153146842167
2020-03-30,-0.42000839086288533
2020-03-31,-0.37981873881356265
2020-04-01,0.008000602020782989
2020-04-02,0.2762355524008547
2020-04-03,-0.11846924782058288
2020-04-04,-0.4523969874589356
2020-04-05,-0.030940645729749524
2020-04-06,-0.04159084801393618
2020-04-07,-0.08109461040961909
2020-04-08,0.5098696146187457
2020-04-09,0.15848546854310971
2020-04-10,-0.440146725359148
2020-04-11,0.712615303040388
2020-04-12,-0.08969188655931591
2020-04-13,0.010523597729771586
2020-04-14,0.15136907102003824
2020-04-15,-0.4688696353078958
2020-04-16,-0.039022746261723334
2020-04-17,0.12215826864056005
2020-04-18,0.054826824860617546
2020-04-19,-0.22315062416331144
2020-04-20,-0.18222028159186052
2020-04-21,-0.2809314894906155
2020-04-22,-0.3250145292693974
2020-04-23,0.10951759863485583
2020-04-24,-0.381021989353044
2020-04-25,0.34338864322539875
2020-04-26,0.016732778403380746
2020-04-27,0.04688745866226939
2020-04-28,0.18041514497780384
2020-04-29,0.2945961195052273
2020-04-30,-0.2672058940588164
2020-05-01,-0.038784950540743116
2020-05-02,0.4970299615645015
2020-05-03,0.4367884500030525
2020-05-04,0.18539016385329826
2020-05-05,-0.11437018682530209
2020-05-06,0.24451264588617566
2020-05-07,-0.3559907239186019
2020-05-08,0.09635725923893049
2020-05-09,0.20608732490955717
2020-05-10,-0.5742586720728132
2020-05-11,-0.5010768293768093
2020-05-12,-0.12416570949076206
2020-05-13,0.42929168514429794
2020-05-14,-0.37639375149177173
2020-05-15,-0.193726084074782
2020-05-16,0.5305735404836024
2020-05-17,-0.4404674889869915
2020-05-18,-0.18910000526662976
2020-05-19,0.052257556556534523
2020-05-20,-0.007659300845160339
2020-05-21,0.002950925219401962
2020-05-22,-0.13824382949998695
2020-05-23,0.05151409197318421
2020-05-24,-0.10146614767386779
2020-05-25,-0.23460525181042186
2020-05-26,-0.295998399650059
2020-05-27,-0.3468723792934543
2020-05-28,-0.28506861438459363
2020-05-29,-0.32735934770318553
2020-05-30,-0.3543369071138323
2020-05-31,-0.42005704058227245
2020-06-01,-0.5702725037899715
2020-06-02,-0.161810016868632
2020-06-03,0.18496781684898794
2020-06-04,0.23417875954702563
2020-06-05,0.2572412413970734
2020-06-06,-0.3937531611160843
2020-06-07,-0.08464082361507187
2020-06-08,0.1309400264428212
2020-06-09,0.25311312837709155
2020-06-10,0.004331236212143052
2020-06-11,-0.36172115296532126
2020-06-12,0.011090812818037851
2020-06-13,-0.28056480707350234
2020-06-14,0.35957801320750227
2020-06-15,-0.45774294065215315
2020-06-16,-0.17643632700933198
2020-06-17,0.06564015805867177
2020-06-18,-0.6221813767044718
2020-06-19,-0.14877735622751162
2020-06-20,0.06402262606346833
2020-06-21,-0.3051950825387801
2020-06-22,0.5364049415467391
2020-06-23,-0.21948985932603798
2020-06-24,-0.26349014946889826
2020-06-25,-0.591859607855206
2020-06-26,-0.11349674596076342
2020-06-27,-0.016780635607488905
2020-06-28,-0.0730449969402595
2020-06-29,-0.007136498371805106
2020-06-30,-0.8986156964502334
2020-07-01,0.22076910250313722
2020-07-02,-0.0990074320064066
2020-07-03,-0.4171468668521334
2020-07-04,0.23880635866259964
2020-07-05,-0.17445621454445426
2020-07-06,0.25254418412304114
2020-07-07,-0.08174194837335283
2020-07-08,-0.47239314808720023
2020-07-09,-0.21939548982199256
2020-07-10,-0.09194011991937666
2020-07-11,0.07107734739887796
2020-07-12,-0.4531128749274669
2020-07-13,-0.22744625245097866
2020-07-14,-0.04110604114983066
2020-07-15,-0.1108407037551746
2020-07-16,0.6307478043015945
2020-07-17,0.041634656514994275
2020-07-18,-0.2053702176783881
2020-07-19,-0.48662947650300825
2020-07-20,0.611959821664775
2020-07-21,0.154321639775025
2020-07-22,-0.19141279565598002
2020-07-23,0.009920319209964707
2020-07-24,-0.263620981389469
2020-07-25,0.13417121577128113
2020-07-26,0.1313650900686607
2020-07-27,0.2972320435906813
2020-07-28,0.5451511037948791
2020-07-29,0.6788410258762504
2020-07-30,-0.2792746718972613
2020-07-31,0.32319384137254614
2020-08-01,-0.08213100280252777
2020-08-02,-0.23662216731155647
2020-08-03,0.4517039392188128
2020-08-04,0.24952373070461778
2020-08-05,0.4169834187930745
2020-08-06,-0.10370365711279796
2020-08-07,-0.3914373251314388
2020-08-08,0.1501285043204676
2020-08-09,-0.42224716252888317
2020-08-10,-0.1855501780275473
2020-08-11,-0.2379477981760544
2020-08-12,-0.2585344777285475
2020-08-13,0.2288221460126357
2020-08-14,-0.37617090268828135
2020-08-15,0.5065624614963263
2020-08-16,-0.2183493752087043
2020-08-17,0.14437147984705295
2020-08-18,-0.2220575186867309
2020-08-19,-0.05350208152386034
2020-08-20,-0.40811770768217165
2020-08-21,0.2886839279361887
2020-08-22,0.43005247718335615
2020-08-23,0.39661907427618154
2020-08-24,-0.00448291412052857
2020-08-25,-0.08065073519913807
2020-08-26,-0.15715372696802532
2020-08-27,0.10663192223375284
2020-08-28,0.27281413418211475
2020-08-29,0.2489059402054855
2020-08-30,-0.14982916729291107
2020-08-31,0.529936969058942
2020-09-01,-0.12659130929828166
2020-09-02,-0.017162173773299327
2020-09-03,0.48551561749484007
2020-09-04,-0.3586416941463569
2020-09-05,0.10280317209561121
2020-09-06,-0.07913619559247012
2020-09-07,0.10600634741807662
2020-09-08,-0.40336516879199896
2020-09-09,-0.22129946363921513
2020-09-10,-0.5205412062218837
2020-09-11,0.37748740745730247
2020-09-12,0.010473271785472915
2020-09-13,-0.5303373901384836
2020-09-14,0.3155003705644124
2020-09-15,0.19318458825462792
2020-09-16,-0.1984413263767357
2020-09-17,0.09518507695678592
2020-09-18,0.3168083510809594
2020-09-19,-0.32332534554140924
2020-09-20,0.14637752232320803
2020-09-21,-0.5119457959489158
2020-09-22,0.529276610946018
2020-09-23,-0.5115496472641339
2020-09-24,-0.29399822442200685
2020-09-25,0.08120583992896725
2020-09-26,0.3804974737047411
2020-09-27,-0.2249003850069938
2020-09-28,0.38289009970387816
2020-09-29,-0.5798980117748315
2020-09-30,0.378502127097985
2020-10-01,0.07556698900622572
2020-10-02,0.443606632413023
2020-10-03,-0.3242900786888976
2020-10-04,-0.22722993194146424
2020-10-05,-0.6158699587914575
2020-10-06,0.010241032486313598
2020-10-07,0.5478532509490944
2020-10-08,-0.3808437776879953
2020-10-09,-0.399229183803673
2020-10-10,0.22824313744402666
2020-10-11,0.30946152559605955
2020-10-12,-0.2260903879115223
