county_name,correlation
Abeokuta South,0.7532458454236818
Aberdeenshire,-0.20939902297761362
Adams County,0.6091824685770972
Adelaide City Council,-0.11499270719371454
Agrigento,0.3411008545957313
Ain,0.05756482647001823
Alacant / Alicante,-0.033257797224302416
Alameda County,-0.7661308776828738
Alanya,0.4993119294911258
Aleiro,0.5443059130388207
Allegheny County,0.38213262831394
Almeria,0.0480613501395868
Anderson County,-0.3639623050518073
Angus,0.5731769151387082
Arapahoe County,0.6275618571394752
Arcadia Regional Unit,-0.5339709823711697
Argolis Regional Unit,0.64272702826823
Argyll and Bute,-0.14876724912887263
Aristanis/Oristano,0.970725343394151
Atlantic County,0.429340879893134
Aude,-0.408248290463863
Austin County,-0.32274861218395146
Aveyron,1.0
Ayrshire,-0.14727143791457148
Banffshire,-0.15505051778173198
Bangalore North,-0.1610182790274748
Barcelona,0.37339775446070994
Bath and North East Somerset,-0.013095881017072092
Bay of Cádiz,0.19535214975704146
Bedford,-0.0838451622647146
Bedford County,0.1952700215184425
Bell County,-1.0
Belleville,-0.08374145431216398
Benevento,0.5091173548309575
Bergen County,0.21569608876481144
Berks County,0.03635591101679381
Berwickshire,0.1829830276645821
Bexar County,0.18412885208617116
Bezirk Schwaz,0.11185934253567084
Blackburn with Darwen,-0.07995475913001863
Blackpool,-0.16841768458733125
Blaenau Gwent,-0.11896921924542583
Bodrum,0.6285330829604946
Bouches-du-Rhône,0.6000000000000001
"Bournemouth, Christchurch and Poole",-0.02423890328573752
Bracknell Forest,-0.13769563573626592
Bradford County,-0.02311223774800955
Bridgend,-0.22553185541401577
Brighton and Hove,-0.008529306276584681
Brindisi,0.970725343394151
Bristol County,0.006498482781385061
Broward County,0.4361843049221677
Brown County,-0.1456602606643025
Brussels-Capital,0.2838980710962863
Buckinghamshire,0.05670345837444249
Bucks County,-0.10833043566096284
Buffalo City Metropolitan Municipality,0.7863336509949341
Burlington County,-0.1013078480971285
Caddo Parish,0.3621034121889507
Caerphilly,-0.19874834651284087
Cagliari,0.9954022744967961
Caithness,-0.13603950215625818
Cambridgeshire,0.1278288969680029
Camden County,0.17010198467360607
Campo de Gibraltar,0.11237980896063604
Canton Mersch,0.654653670707977
Cape May County,0.08041242724437465
Cape Winelands District Municipality,0.0
