county_fips,correlation
1059,-0.06746043309165566
2090,0.16445231862741347
2230,-0.1326496988426686
4007,-0.05371332726506189
5003,-0.017795684053652575
5009,-0.11702317919930733
5141,-0.02428108293010741
6003,-0.04784768928178357
6091,-0.06221089117472502
8033,-0.1696631796800386
8055,-0.10282090622667116
8061,-0.28173496261220393
8069,-0.1834607677811564
8103,-0.07053478274548097
12007,0.14623442024266306
12127,-0.32440843600431823
13127,0.29153276062533806
13137,-0.10616103652807836
13145,-0.08199748305757518
13147,-0.07700368567260885
13149,0.0038936906642947043
13161,-0.2011968266821938
13253,-0.16855437383734806
13271,0.07295071874594229
13303,0.06985837013968463
13317,-0.1723463330664877
17031,-0.16628918737268403
17113,0.11109710462250018
17143,-0.31839436697097523
17161,-0.1751310922642756
17175,-0.09772176184435867
18059,-0.012683011403279085
18135,-0.13589277694471671
19095,-0.01118075605670689
19119,0.048453598119878954
19145,0.3475848315350052
20011,-0.22166875172238662
20121,-0.14285408611803105
21213,-0.13712876714048433
21225,-0.28672265552111714
22015,-0.4051016935315024
22055,0.22017095930071964
26137,0.011611149158851213
27003,0.07793401076357502
27007,-0.021581434943136767
27085,-0.18298250015392836
27165,0.13638929863542465
28079,0.2272127484554724
28105,-0.24405436609921669
28161,-0.08541508581103303
29203,0.07946301607434025
30003,-0.005079238874843394
31067,-0.19397522779063586
31083,-0.08196039695519924
31097,0.021091116941403032
31105,-0.2647862798137254
31107,-0.16191764387917162
31151,-0.29046230009266505
36009,0.05895458828005543
36097,0.026140836584165474
37053,-0.04813838600150482
37059,-0.26549811581175153
37081,-0.051243589769511044
37083,-0.025361331901052723
37109,0.04873944081697505
37127,0.15935235880805082
37173,0.19933025217904748
37177,-0.26429457253338606
37191,-0.07353667039515795
38047,-0.14236691673060903
38053,0.004024673202004157
41061,0.005628726920598607
42035,0.43173979703254667
46047,0.22916751341267205
47003,-0.0836819518305605
47017,-0.009314723716934994
47027,0.10846611017106396
47075,-0.0746114661127613
47135,-0.22831840631836248
47153,0.16830274452669186
47165,0.005040695891147379
48071,-0.09936892094854333
48119,-0.2597845027728035
48179,0.21341014079106524
48251,-0.17533486130683604
48305,-0.27752637416869147
48323,-0.12553238258393837
51037,-0.1688442127923802
51101,-0.2171414742090243
51113,0.1685110156813465
51187,0.18556917236139034
51530,0.007325932898482529
51770,-0.15656432801831904
51810,0.19612408383154448
53061,0.11817832570987484
55077,-0.08437290605913404
55137,0.21542526634882403
56019,0.03224029490649086
56023,-0.04820102295643509
72041,0.023478100375892794
