county_name,correlation
Aalst,-0.2659254682959919
Abeokuta South,-0.146747074406738
Aberdeenshire,0.3451116300918259
Adams County,-0.2973556785998229
Adelaide City Council,0.027591127894476944
Ain,-0.1807211280675394
Alacant / Alicante,-0.0961016177588512
Alameda County,0.25526273916057013
Albemarle County,0.6933752452815364
Allegheny County,0.04652421051992353
Almeria,0.06197347460750654
Amherst County,0.18153382067022278
Anderson County,0.1845037216532369
Angus,0.2272927101136034
Ankleshwar Taluka,0.5374838498865699
Anne Arundel County,-0.10344697945994594
Argyll and Bute,0.09653784211788294
Ascension Parish,-0.3222498159379034
Athens-Clarke County,-0.640721451713311
Atlantic County,-0.09542643548290004
Austin County,-0.2776071909418701
Ayrshire,0.4118700156085426
Banffshire,-0.30273172331148235
Bang Rak District,-0.2437087183379771
Bangalore North,0.11570286068076883
Barcelona,0.3023689716059465
Bath and North East Somerset,0.4542115467709061
Bedford,0.29088602373136296
Bedford County,-0.14068500211818993
Beersheba Subdistrict,-0.6145108403757048
Bell County,-1.0
Belleville,0.29572742195965546
Belluno,0.30721179171268825
Benito Juárez,-0.02879561418604533
Bergen County,0.06272400798607478
Berks County,-0.01754983439300324
Berwickshire,0.15205081499592488
Bexar County,-0.06416918871435319
Bezirk Bludenz,-0.6622661785325221
Bezirk Horgen,0.18768919259375133
Bezirk Kreuzlingen,-0.1736377999113822
Blackburn with Darwen,0.46058431257328386
Blackpool,0.4673952633259584
Blaenau Gwent,0.46335898446215706
Bologna,-0.651350792021791
Bouches-du-Rhône,-0.08047124745832634
"Bournemouth, Christchurch and Poole",0.41784232612279826
Box Elder County,0.16151457061744962
Bracknell Forest,0.19733226055786085
Brevard County,-0.7877263614433762
Bridgend,0.24324042483443764
Brig,-0.0010791285954873664
Brighton and Hove,0.602878777349472
Bristol County,-0.14553796291139237
Broward County,-0.2756910831906049
Brown County,-0.25341494042250134
Brussels-Capital,0.3661582105891628
Buckinghamshire,0.4513563450005604
Bucks County,-0.21669513130398319
Burke County,-0.5222329678670936
Burlington County,-0.011103901505833298
Caerphilly,0.3991560351920323
Cagliari,-0.21110016546037458
Caithness,-0.014841091901717422
Cajicá,-0.05739637734530158
Calabar Municipal,0.1036776211086147
Cambridgeshire,0.4954083422138111
Camden County,0.2922410320783214
Campiña de Jerez,0.47015384867760734
Canton Capellen,0.3162277660168379
Cape May County,-0.2558772084028804
Cape Winelands District Municipality,-0.3212936536205733
Cardiff,0.6384233233248322
Cardiganshire,-0.5222329678670934
Carmarthenshire,0.2909082592378444
Cass County,-0.970725343394151
Castelló / Castellón,0.41250149646158185
Cecil County,0.21874044501081663
Central Bedfordshire,0.47194314866913356
Ceredigion,0.3326542733209722
Chania Regional Unit,-0.46926334022639526
Cheshire East,0.49037568464917874
Cheshire West and Chester,0.49414376147943734
Chester,-0.0077953902337503655
Chesterfield County,0.30765480420823493
Chris Hani District Municipality,0.2773500981126144
Christchurch City,0.11237026010842965
City of Bristol,0.530984853861397
City of Cape Town,-0.005807795853935753
City of Ekurhuleni Metropolitan Municipality,-0.32505679402557763
City of Johannesburg Metropolitan Municipality,-0.20145995378938478
City of Leicester,-0.04125292498487394
City of Perth,-0.22961444827236532
City of Peterborough,0.21229817746291654
City of Tshwane Metropolitan Municipality,0.21608963902893555
Ciudad Real,-0.6933752452815365
Clackmannanshire,0.36335789276915187
Clark County,-0.02292271739453723
Cobb County,-0.04072499894384463
Collier County,-0.25335642992521484
Collin County,0.23354968324845687
Contra Costa County,-0.11173675756543047
Conwy,0.39668237356856845
Cook County,0.37737765981098187
Cordova,0.2401922307076307
Cornwall,0.5686818864529581
Costa del Sol Occidental,-0.06875558129412036
County Carlow,0.053832009906415526
County Clare,-0.21125748487969326
County Cork,-0.06925251800887211
County Donegal,-0.08189744791383147
County Dublin,0.02846411789837587
County Durham,0.3761099835263414
County Fermanagh,0.26996292481583994
County Galway,0.394481812840593
County Kerry,0.25744845738984107
County Kildare,0.4939051148922111
County Limerick,0.6529683823708642
County Londonderry,0.5553326517705918
County Louth,0.05171981069404093
County Mayo,-0.10517491932277089
County Meath,0.4186037774481447
County Offaly,-0.7323808281224778
County Roscommon,0.4588314677411236
County Sligo,-0.11563782998085054
County Tipperary,-0.10721253272459028
County Tyrone,0.15441959510021547
County Wexford,0.2383348824303622
County Wicklow,0.5204609609743832
Creuse,-0.8384246306158977
Cumberland County,0.7355214124457964
Cumbria,0.5252820904383686
Cuyahoga County,-0.16109680227951678
Dadri,0.1154489579375022
Dallas County,0.13202200702443725
Darlington,0.21865414507748052
Dauphin County,1.0
DeKalb County,0.39397985909955835
Delaware County,-0.11202488166273063
Denbighshire,0.3712701932355099
Denver County,-0.0020322725821562727
Derby,0.5689843043026823
Derbyshire,0.5486454984546836
Deux-Sèvres,0.08425621201840162
Devon,0.6097012050380995
District Zurich,-0.3732981400808709
District d'Aigle,-0.3920847116057428
District de Lausanne,-0.015227633804341674
District de Nyon,-0.11771537507767518
Dordogne,0.02776466607838441
Dorset,0.6035970322454939
Douglas County,0.23735266612293465
Dumfries and Galloway,0.11950549024058206
Dumfriesshire,0.08655119987077298
Dundee City,0.4096048265922022
Durham County,-0.17294190279977184
Durham Region,-0.23985647847869204
Dutchess County,-0.5773502691896258
East Ayrshire,0.32359320047910733
East Dunbartonshire,0.19060571230650838
East Lothian,0.3459804751976777
East Renfrewshire,0.36160343763793185
East Riding of Yorkshire,0.6110618647824538
East Sussex,0.6649476802594805
El Paso County,0.061874458340132256
Emmental administrative district,0.3251930322413295
Erandol,-0.03746742901448509
Erie County,0.08547101214729994
Essex,0.6683163592722762
Essex County,0.18436521281131774
Eti Osa,-0.09533339559714261
Euboea Regional Unit,0.6076436202501999
Fairfax County,0.48255339240688205
Fairfield County,0.5452760639452384
Falkirk,0.41516559557341054
Faro,-0.19249865940570926
Fife,0.5163155566487474
Flintshire,0.5047569908153308
Franklin County,-0.1066182269124481
Fraser Valley Regional District,-0.3031069016382737
Frutigen-Niedersimmental administrative district,0.597814394037975
