county_name,correlation
Aberdeenshire,-0.6055470174832146
Adelaide City Council,-0.31282342980986066
Ain,-0.28290291306688237
Alacant / Alicante,-0.31953018472073474
Alameda County,-0.06933752452815363
Allegheny County,-0.37796447300922714
Almeria,-0.13900960937138318
Anderson County,-0.07014251336818186
Angus,-0.40214990354365926
Arezzo,-1.0
Argyll and Bute,-0.22299750961526593
Athens-Clarke County,-0.5163977794943223
Ayrshire,-0.20461400670741742
Badajoz,0.04432432956942431
Banffshire,0.4264339152119702
Barcelona,-0.18036085911822683
Bath and North East Somerset,-0.4318294416150449
Bay of Cádiz,0.6065865798016904
Bedford,-0.7744768900599951
Bedford County,-0.35355339059327373
Belleville,-0.06949345664097317
Benevento,0.22533377190744047
Berwickshire,-0.027676305936294193
Bexar County,0.0819352324184685
Blackburn with Darwen,-0.1243292334370287
Blackpool,-0.5152347661331869
Blaenau Gwent,0.02854514559879185
Bouches-du-Rhône,0.6933752452815364
"Bournemouth, Christchurch and Poole",-0.7153775172163541
Bracknell Forest,-0.6002448784515421
Bridgend,-0.6003209966559935
Brighton and Hove,-0.3529048940201966
Broward County,0.4082482904638629
Brussels-Capital,0.1839769419105345
Buckinghamshire,-0.688926948066903
Caddo Parish,-0.20965696734438372
Caerphilly,-0.39868127035316253
Caithness,0.23081591556925635
Cambridgeshire,-0.4632487396700422
Camden County,-0.22195819880175588
Canton Clervaux,0.3776181730330979
Canton Mersch,0.11470786693528096
Cardiff,-0.5317532483936035
Carmarthenshire,-0.17895472607508206
Cass County,-0.06666666666666671
Castelló / Castellón,-0.053376051268362396
Catania,-0.5773502691896256
Central Bedfordshire,-0.46233845153384784
Ceredigion,-0.3929326970446103
Cheshire East,-0.5536430575115013
Cheshire West and Chester,-0.7902694690741217
Chester,-0.4418993202399135
Christchurch City,-0.6597126257429702
City of Bristol,-0.3366741579406129
City of Cape Town,-0.24432922816381455
City of Ekurhuleni Metropolitan Municipality,0.5026974181402227
City of Johannesburg Metropolitan Municipality,-0.3207503319452
City of Leicester,-0.2720206843323913
City of Perth,0.1352680410429266
City of Peterborough,-0.37701132818147437
City of Tshwane Metropolitan Municipality,0.3781844418437284
Clackmannanshire,-0.32268465711133504
Clark County,-0.1495649530253528
Cobb County,-0.2626128657194451
Collin County,-0.177227259790789
Contra Costa County,-0.5222329678670936
Conwy,-0.5569545758995372
Cook County,-0.17379137392080346
Cornwall,-0.27185038119820115
Cosenza,-0.3124824611776759
Costa del Sol Occidental,0.16222142113076243
County Cavan,-0.05096471914376253
County Cork,-0.224774429566595
County Dublin,-0.16635682180000497
County Durham,-0.6565435245537294
County Fermanagh,-0.4296122779764066
County Galway,-0.38554548101677716
County Leitrim,0.8660254037844383
County Londonderry,-0.5434696605065014
County Meath,-0.055470019622522876
County Sligo,0.21057989315866543
County Tipperary,0.0
County Tyrone,-0.31350972697565993
County Wicklow,-0.19303573428151388
Cumberland County,-0.11445963820349911
Cumbria,-0.6582030857726859
Dadri,-0.16666666666666669
Dallas County,-0.5541850953450634
Darlington,-0.43413687918681554
Davidson County,-0.10134815766830255
DeKalb County,0.37210420376762543
Denbighshire,-0.3811415551697493
Derby,-0.37740434654178845
Derbyshire,-0.4449947783399488
Devon,-0.764028934196892
Dorchester County,-0.3722774719374382
Dorset,-0.6221870969760364
Douglas County,0.18898223650461365
DuPage County,-0.49236596391733095
Dumfries and Galloway,-0.44283065879012673
Dumfriesshire,-0.4799576439049713
Dundee City,-0.6362086561193306
East Ayrshire,-0.750975092112085
East Baton Rouge Parish,-0.4685212856658183
East Dunbartonshire,-0.16565192611099866
East Lothian,-0.6054262909259492
East Renfrewshire,-0.11001681074743884
East Riding of Yorkshire,-0.27495476551841563
East Sussex,-0.12878204784438635
Erie County,1.0
Essex,-0.5354891536829135
Essex County,0.06929500533290028
Eti Osa,-0.01528723200881163
Fairfield County,-0.12140736063928036
Falkirk,-0.5257026426689132
Faro,0.5773502691896257
Fife,-0.5537231034208104
Flintshire,-0.5958157303576799
Franklin County,0.09999999999999999
Fraser Valley Regional District,0.1780246118505771
Fulton County,-0.12459499033663711
Ga East,-0.5773502691896256
Ghaziabad,0.5292881355202901
Glasgow City,-0.3563604486553559
Gloucestershire,-0.33843229506990313
Granada,0.44721359549995804
Greater Manchester,-0.5146440005732437
Greene County,-0.21576592600105146
Greenville County,-0.5000000000000001
Guayaquil,0.0
Gwent,-0.24409904587664225
Gwynedd,-0.4901267583306649
Halton,-0.616209852584008
Hamilton County,0.3344991278961198
Hampshire,-0.44051760507905324
Hartford County,-0.16923859207428596
Hartlepool,-0.39390341758347425
Haute-Marne,0.2336063219502108
Hauts-de-Seine,0.5773502691896258
Hennepin County,-0.1020620726159657
Herefordshire,-0.14518555560167049
Hermosillo,0.0
Hertfordshire,-0.7303619457852683
Highland,-0.23819846466300015
Hillsborough County,0.19999999999999998
Houston County,-0.16720900416762852
Howard County,0.554700196225229
Hoy,-0.16268682237036852
Hudson County,1.0
Ikeja,0.182413667792429
Ille-et-Vilaine,0.2158735887380122
Inverclyde,-0.5019335680128286
Isle of Anglesey,-0.32345395422533113
Isle of Wight,-0.31284130478374383
Jaén,0.6933752452815364
Karanganyar,0.47809144373375756
Kent,-0.5023502983341064
King County,-0.4305495536813798
Kingston upon Hull,-0.5563680666180469
Kirkcudbrightshire,0.015057409947533545
Kitsap County,0.07254762501100122
Knox County,-0.4084254123822417
La Axarquía,-0.8221921916437787
Lanarkshire,0.07543439343059752
Lancashire,-0.5302958810469374
Las Palmas,0.19650592228981845
Lee County,-0.010763876560478322
Leicestershire,-0.7556911606277636
Leiria,0.49999999999999983
León,-0.5015568278463085
Lincoln County,-0.4800351017407896
Lincolnshire,-0.6920167015161414
Lisbon,0.24184587236889749
London,0.004400130642516591
Lorain County,-0.5000000000000001
Los Angeles County,0.16756610576820907
Lubbock County,-0.03704974489022864
Luton,-0.008689199471990879
Maaseik,0.6073115698974038
Malaga,-0.5773502691896256
Mangaung Metropolitan Municipality,-0.30151134457776363
Maricopa County,-0.5424229608606007
Marion County,-0.49892218025118673
Medway,-0.6164435744254942
Merrimack County,-1.0
Merthyr Tydfil,-0.5408402071673566
Messina,-0.2401922307076307
Metro Vancouver,0.22882714067814575
Metropolitan Region of Porto Alegre,0.15785362729739622
Miami-Dade County,-0.1619223627883568
Mid Glamorgan,-0.4348628096693562
Middle,0.39487284645520027
Middlesbrough,-0.2806757914663793
Middlesex County,-0.18475541638979096
Midlothian,-0.2301251935065434
Milan,0.03943421315333778
Milton Keynes,-0.33317693636505374
Monmouthshire,-0.3022330728548791
Monroe County,-0.3572172541558801
Mons,0.632455532033676
Montgomery County,-0.2418441854510911
Moray,-0.26713394768661236
Municipal Area Council,0.19260494138291961
Municipio de Querétaro,-0.051571062312939724
Muskoka District,0.4053005311718899
Mérida,-0.1380170008215654
Nassau County,0.7288689868556625
Neath Port Talbot,-0.41147613457314514
Nelson Mandela Bay Metropolitan Municipality,0.15137501211000148
New Haven County,0.28202400791277243
New London County,0.25
New York County,-0.1617243715314771
Newport County,-0.3281098274671263
Newport News,0.5345224838248487
Ngaka Modiri Molema District Municipality,-0.42365927286816174
Niagara Region,-1.0
Norfolk,-0.5524354909816078
Norfolk County,-0.3952847075210473
North Ayrshire,-0.5956669455078472
North East Lincolnshire,-0.2789562090295068
North Lanarkshire,-0.5457984252880739
North Lincolnshire,-0.2341284348147888
North Somerset,-0.2998383996018668
North Yorkshire,-0.03283063493729518
Northamptonshire,-0.38715856037228535
Northumberland,-0.42283440685378204
Nottinghamshire,-0.2175578426004999
Orkney Islands,-0.651132667753556
Orleans Parish,0.29277002188455997
Outagamie County,1.0
Oxfordshire,-0.7310023885385203
Palm Beach County,-0.5044978417091165
Papa,0.21158191324453363
Paris,-0.3307648595039602
Passaic County,0.3090684322040604
Peel Region,-0.010708209436720587
Pembrokeshire,-0.5942250213346972
Perth and Kinross,-0.5298057419189599
Peterborough,-0.2405541750799041
Philadelphia County,0.1862338128680002
Pima County,-0.26726124191242434
Pinellas County,-0.21213978248074924
Plymouth County,0.22890719951501903
Porto,-0.18264779630811004
Powys,-0.6504159006452143
Prayagraj,-0.9878291611472619
Prince William County,0.25819888974716104
Provincia de Santiago,-0.0428267711706638
Prättigau/Davos,0.8411910241920599
Pulaski County,0.087134533740322
Quito,-0.13791233788457277
Ramsey County,-0.1690308509457033
Redcar and Cleveland,-0.20506132446392983
Região Metropolitana de Belo Horizonte,0.04012861769525638
Região Metropolitana de Campinas,0.6196461180221776
Renfrewshire,-0.47517910161008625
Rensselaer County,0.4522035808586377
Rhondda Cynon Taf,-0.5316701496673597
Rockall,-0.27809068962250466
Roma Capitale,-0.2912786139401141
Rubavu,0.0
Rushen,0.19700105059698922
Rutland,-0.22849599101825807
Saint Joseph County,-0.06933752452815364
San Diego County,0.2667463739411249
Santa Cruz de Tenerife,-0.051571062312939724
Saphan Sung District,0.19085098301245662
Scottish Borders,-0.36906699240743035
Serranía de Ronda,-0.04633653645712778
Sevilla,-0.7559289460184545
